ID,Alloy formula,Alloy class,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Tss (K),tss (h),CR reduction (%),Aging,Tag (K),tag (h),Secondary thermo-mechanical process,Hardness (HV),Yield strength (MPa),Ultimate tensile strength (MPa),Electrical conductivity (%IACS)
969,Cu-6Ni-1Si-0.5Al-0.15Mg-0.1Cr,Cu low alloyed,95.55713683536793,0.24615041697333806,7.499515171366371e-05,0.0,0.0,0,0.0,0.0,0.01808285617081421,0.00011009675929958904,0,0,0.004001170079413227,0,0,0,0,0.0,0.0012554613283409948,0,0,0.18048700476252877,0.0015482247834881517,0.0,0.0,0.0,0.2785315539542661,1185.394765541388,3.9721303602231584,4.366902933446945,Y,778.447642727181,4.447235701689667,N,163.58587546661616,,,22.067009952137667
241,Cu-4.5Ni-1Si-1.2Co-0.15Mg,Cu-Ni-Si alloys,95.08398213795623,0.0012519740246959646,0.0,0.0,0.0009469930909997781,0,0.0,0.0,0.4477235370398256,0.008203063703068496,0,0,0.12165056836349991,0,0,0,0,4.524110110590405,0.0,0,0,0.037524956168990715,0.0005707493648915369,0.0,0.0020489630444074473,0.2342379409832419,0.008075614418819469,1228.6035409302274,,90.21477777169721,Y,,0.0,N,300.692142040951,567.0943407796908,,43.76131421089888
820,Cu-4.5Ni-1Si-1.2Co-0.15Mg,Cu-Ni-Si alloys,91.89420909661459,0.022182819357840004,0.0,0.00325975918989275,0.0,0,0.008680716389483421,0.0,0.12585588289610586,0.00784322927767546,0,0,0.16933689188849357,0,0,0,0,6.302060888909006,0.0,0,0,1.3128960017059632,0.0,0.025426654968380806,0.0030857001524963418,0.0,0.002719230443789128,1253.323888432738,4.064445852402449,0.24315531903922413,Y,637.8787526554153,0.8879912301921431,N,327.8583737946009,,,36.11465098559718
693,Cu-4.0Ni-2.0Si,Cu-Ni-Si alloys,92.62474141361832,0.0,0.0,0.0,0.015469258455495079,0,0.00043777226416538164,0.0,0.09323973834838936,0.0,0,0,0.03187720824153622,0,0,0,0,6.047168654036639,0.002642818797861973,0,0,0.9750413335333872,0.0,3.481890228276792,0.0,0.0,0.17182866095659122,1175.6671998064307,7.041733883323246,0.0,Y,772.8590827653826,0.5352092815726577,Y,331.3112688024092,,,26.008458800737724
421,Cu-0.28Cr-0.19Mg,Cu-Ni-Si alloys,95.57524167850949,0.009056011263880677,0.0,0.0,0.008676299253835389,0,0.0,0.0,0.011448277608752593,0.0,0,0,0.023715580927034994,0,0,0,0,0.0,0.0017428470615372992,0,0,0.04504518857104371,0.0005752194821289918,0.025932142611993263,0.00047436532210644024,0.0,0.006282448867756428,1252.458463640578,27.77,0.0,Y,768.3126149907014,,N,83.73701116566383,,,29.37090062867308
1086,Cu-0.28Cr-0.19Mg,Cu low alloyed,93.75657595611324,0.0,0.0013187079197132397,4.800471165622202e-05,2.0,0,0.0,0.0,0.5440314158239328,0.0,0,0,0.0,0,0,0,0,0.5241046339014024,0.0018696623126006403,0,0,0.0,0.0011779679131555493,3.15395031616836,0.0003761826432089731,0.00038269982247982753,0.1154517571641368,1173.5228451915978,1.9358537373036493,0.9342867841001858,Y,686.9550352954808,1.3916587527611601,N,202.69145373321513,566.0127945767968,,33.8219747806086
1999,Cu-6Ni-1Si-0.5Al,Cu-Ni-Si alloys,91.89901302508505,0.5,0.002024977595506218,0.0,0.0,0,0.0,0.0,0.12917374892211117,0.01155782903304485,0,0,0.07584856699321602,0,0,0,0,5.7142681030231275,0.002725943784807158,0,0,1.0096268265457167,0.0,0.0,0.0003984970764444003,0.0,0.0028459171382587438,1257.2144604514692,4.301186125406068,54.50518633273104,Y,723.2624182159308,3.088833187071603,Y,320.6141527523305,,,40.81318336914252
366,Cu-6Ni-1.0Si-0.5Al-0.15Mg-0.1Cr,Cu-Ni-Si alloys,92.35159774461661,0.5,0.0,0.0015281830507234062,0.0046220482542122954,0,0.010826712295086454,0.0,0.12824295496648538,0.0,0,0,0.090900535002781,0,0,0,0,5.351204139416886,0.002374511320908832,0,0,0.9551301178466448,0.0025200834426789558,0.0,0.0,0.0,0.006975034279999706,1323.0,0.7237693585976482,6.213187180157986,Y,721.0413171090568,20.991124498939378,N,252.94025375520624,,,51.70745152609019
1023,Cu-1.91Ni-0.47Si-0.035P,Cu-Ni-Si alloys,92.41031847865791,0.015367715345353593,0.0009303773969597388,0.0,0.007517394575648845,0,0.0,0.0,0.014675526573270915,0.0,0,0,0.14088261247340247,0,0,0,0,0.0,0.0011782824021927556,0,0,0.14477104821527803,0.0,3.1321949715573925,0.0,0.0,0.002377867166897461,1165.3424535939018,3.7104864185013122,40.673779655368534,Y,1023.0,,N,140.90623248398458,,689.0420832058757,55.742882429164915
1241,Cu-2.8Ni-0.6Si,Cu-Ni-Si alloys,98.86000025267377,0.0,0.0,0.0,0.0,0,0.0,0.0024191627701558856,0.01055220915206466,0.002836598661826804,0,0,0.008292810857083287,0,0,0,0,0.37362388420217246,0.00018364237243603996,0,0,0.0,0.0,0.026939975731179358,0.00018912195343642418,0.0016457403496175356,0.003649499165972702,1176.1560838373805,3.4911498510382044,64.11777857146213,Y,769.3951277751471,0.0,N,180.8755560921405,,,64.18172430307206
